0, 1000000, 0, 
1, 1000001, 1000027, 1, 6, 
2, 1000002, 1000028, 1000054, 2, 7, 12, 
3, 1000003, 1000029, 1000055, 1000081, 3, 8, 13, 42.0, 
4, 1000004, 1000030, 1000056, 1000082, 4, 9, 14, 43.0, 
5, 1000005, 1000031, 1000057, 1000083, 5, 10, 15, 44.0, 
6, 1000006, 1000032, 1000058, 1000084, 6, 11, 16, 45.0, 
7, 1000007, 1000033, 1000059, 1000085, 7, 12, 17, 46.0, 
8, 1000008, 1000034, 1000060, 1000086, 8, 13, 18, 47.0, 
9, 1000009, 1000035, 1000061, 1000087, 21, 14, 19, 48.0, 
10, 1000010, 1000036, 1000062, 1000088, 22, 27, 20, 49.0, 
11, 1000011, 1000037, 1000063, 1000089, 23, 28, 33, 50.0, 
12, 1000012, 1000038, 1000064, 1000090, 24, 29, 34, 63.0, 
13, 1000013, 1000039, 1000065, 1000091, 25, 30, 35, 64.0, 
14, 1000014, 1000040, 1000066, 1000092, 26, 31, 36, 65.0, 
15, 1000015, 1000041, 1000067, 1000093, 27, 32, 37, 66.0, 
16, 1000016, 1000042, 1000068, 1000094, 28, 33, 38, 67.0, 
17, 1000017, 1000043, 1000069, 1000095, 29, 34, 39, 68.0, 
18, 1000018, 1000044, 1000070, 1000096, 42, 35, 40, 69.0, 
19, 1000019, 1000045, 1000071, 1000097, 43, 48, 41, 70.0, 
20, 1000020, 1000046, 1000072, 1000098, 44, 49, 54, 71.0, 
21, 1000021, 1000047, 1000073, 1000099, 45, 50, 55, 84.0, 
22, 1000022, 1000048, 1000074, 1000100, 46, 51, 56, 85.0, 
23, 1000023, 1000049, 1000075, 1000101, 47, 52, 57, 86.0, 
24, 1000024, 1000050, 1000076, 1000102, 48, 53, 58, 87.0, 
25, 1000025, 1000051, 1000077, 1000103, 49, 54, 59, 88.0, 
26, 1000026, 1000052, 1000078, 1000104, 50, 55, 60, 89.0, 
27, 1000000, 1000053, 1000079, 1000105, 48.0, 56, 61, 90.0, 
28, 1000001, 1000027, 1000080, 1000106, 49.0, 54.0, 62, 91.0, 
29, 1000002, 1000028, 1000054, 1000107, 50.0, 55.0, 84.0, 92.0, 
30, 1000003, 1000029, 1000055, 1000081, 51.0, 56.0, 85.0, 90.0, 
31, 1000004, 1000030, 1000056, 1000082, 52.0, 57.0, 86.0, 91.0, 
32, 1000005, 1000031, 1000057, 1000083, 53.0, 58.0, 87.0, 92.0, 
33, 1000006, 1000032, 1000058, 1000084, 54.0, 59.0, 88.0, 93.0, 
34, 1000007, 1000033, 1000059, 1000085, 55.0, 60.0, 89.0, 94.0, 
35, 1000008, 1000034, 1000060, 1000086, 56.0, 61.0, 90.0, 95.0, 
36, 1000009, 1000035, 1000061, 1000087, 69.0, 62.0, 91.0, 96.0, 
37, 1000010, 1000036, 1000062, 1000088, 70.0, 75.0, 92.0, 97.0, 
38, 1000011, 1000037, 1000063, 1000089, 71.0, 76.0, 105.0, 98.0, 
39, 1000012, 1000038, 1000064, 1000090, 72.0, 77.0, 106.0, 111.0, 
