0, 1000000, 0, 
1, 1000001, 1000027, 1, 3, 
2, 1000002, 1000028, 1000054, 2, 4, 6, 
3, 1000003, 1000029, 1000055, 1000081, 3, 5, 7, 9, 
4, 1000004, 1000030, 1000056, 1000082, 4, 6, 8, 10, 
5, 1000005, 1000031, 1000057, 1000083, 5, 7, 9, 11, 
6, 1000006, 1000032, 1000058, 1000084, 6, 8, 10, 12, 
7, 1000007, 1000033, 1000059, 1000085, 7, 9, 11, 13, 
8, 1000008, 1000034, 1000060, 1000086, 8, 10, 12, 14, 
9, 1000009, 1000035, 1000061, 1000087, 21, 11, 13, 15, 
10, 1000010, 1000036, 1000062, 1000088, 22, 24, 14, 16, 
11, 1000011, 1000037, 1000063, 1000089, 23, 25, 27, 17, 
12, 1000012, 1000038, 1000064, 1000090, 24, 26, 28, 30, 
13, 1000013, 1000039, 1000065, 1000091, 25, 27, 29, 31, 
14, 1000014, 1000040, 1000066, 1000092, 26, 28, 30, 32, 
15, 1000015, 1000041, 1000067, 1000093, 27, 29, 31, 33, 
16, 1000016, 1000042, 1000068, 1000094, 28, 30, 32, 34, 
17, 1000017, 1000043, 1000069, 1000095, 29, 31, 33, 35, 
18, 1000018, 1000044, 1000070, 1000096, 42, 32, 34, 36, 
19, 1000019, 1000045, 1000071, 1000097, 43, 45, 35, 37, 
20, 1000020, 1000046, 1000072, 1000098, 44, 46, 48, 38, 
21, 1000021, 1000047, 1000073, 1000099, 45, 47, 49, 51, 
22, 1000022, 1000048, 1000074, 1000100, 46, 48, 50, 52, 
23, 1000023, 1000049, 1000075, 1000101, 47, 49, 51, 53, 
24, 1000024, 1000050, 1000076, 1000102, 48, 50, 52, 54, 
25, 1000025, 1000051, 1000077, 1000103, 49, 51, 53, 55, 
26, 1000026, 1000052, 1000078, 1000104, 50, 52, 54, 56, 
27, 1000000, 1000053, 1000079, 1000105, 12, 53, 55, 57, 
28, 1000001, 1000027, 1000080, 1000106, 13, 21.0, 56, 58, 
29, 1000002, 1000028, 1000054, 1000107, 14, 22.0, 24.0, 59, 
30, 1000003, 1000029, 1000055, 1000081, 15, 23.0, 25.0, 27.0, 
31, 1000004, 1000030, 1000056, 1000082, 16, 24.0, 26.0, 28.0, 
32, 1000005, 1000031, 1000057, 1000083, 17, 25.0, 27.0, 29.0, 
33, 1000006, 1000032, 1000058, 1000084, 18, 26.0, 28.0, 30.0, 
34, 1000007, 1000033, 1000059, 1000085, 19, 27.0, 29.0, 31.0, 
35, 1000008, 1000034, 1000060, 1000086, 20, 28.0, 30.0, 32.0, 
36, 1000009, 1000035, 1000061, 1000087, 33, 29.0, 31.0, 33.0, 
37, 1000010, 1000036, 1000062, 1000088, 34, 42.0, 32.0, 34.0, 
38, 1000011, 1000037, 1000063, 1000089, 35, 43.0, 45.0, 35.0, 
39, 1000012, 1000038, 1000064, 1000090, 36, 44.0, 46.0, 48.0, 
40, 1000013, 1000039, 1000065, 1000091, 37, 45.0, 47.0, 49.0, 
